주소,행정동,위도,경도,제한속도
서울특별시 강서구 방화대로 319,방화1동,37.5691581356766,126.816286169261,50
서울특별시 강서구 공항대로 431,등촌1동,37.5552954200354,126.855211770839,50
서울특별시 강서구 공항동 53-44,공항동,37.5612403739104,126.810248679635,50
서울특별시 강서구 강서로 34,화곡8동,37.5309937216972,126.847442851913,50
서울특별시 강서구 방화동 산 116-9,방화3동,37.5820075573917,126.81756096881,40
서울특별시 강서구 방화대로 408,방화3동,37.57710906026,126.81710832341,50
서울특별시 강서구 공항동 1373,공항동,37.5558909472488,126.808109224979,50
서울특별시 강서구 공항대로 69,공항동,37.5614834581177,126.815533225321,50
서울특별시 강서구 방화대로 96,발산1동,37.5489580442406,126.817309642653,50
서울특별시 강서구 방화대로 2,발산1동,37.5407583232134,126.817129939792,50
서울특별시 강서구 공항대로 28,공항동,37.5611463611113,126.810280495789,50
서울특별시 강서구 공항대로 653,염창동,37.5473388138282,126.877427656269,50
서울특별시 강서구 방화동 46-5,방화3동,37.5851430306454,126.818509444266,80
서울특별시 강서구 남부순환로 223,발산1동,37.545862041763,126.821913818759,50
서울특별시 강서구 하늘길 78,공항동,37.5609018527061,126.79971076167,30
서울특별시 강서구 하늘길 38,방화2동,37.5713698504776,126.80296035927,40
서울특별시 강서구 하늘길 210,공항동,37.5532549773241,126.809323732697,40
서울특별시 강서구 공항대로 376,화곡6동,37.5568482740514,126.84719334651,50
서울특별시 강서구 공항대로3길 18,공항동,37.5622308905044,126.810281254376,50
서울특별시 강서구 우현로 17,우장산동,37.5472595930807,126.843480989626,30
서울특별시 강서구 강서로 511,가양1동,37.5710165391584,126.841469246972,50
서울특별시 강서구 강서로 247,화곡3동,37.5477927919149,126.836036213248,50
서울특별시 강서구 공항대로 382,화곡6동,37.5563945811198,126.849546722022,50
서울특별시 강서구 공항대로 124,공항동,37.5594617880425,126.820728611421,50
서울특별시 강서구 양천로 350,가양1동,37.5680294983541,126.841489047686,50
서울특별시 강서구 화곡로 263,화곡6동,37.5496381852817,126.845984193202,50
서울특별시 강서구 방화동 842-5,방화3동,37.5758881511827,126.819998128249,30
서울특별시 강서구 허준로 95,가양2동,37.5671119932443,126.851377311424,30
서울특별시 강서구 등촌동 694,등촌3동,37.5626461178697,126.846655652033,30
서울특별시 강서구 강서로68길 108,등촌3동,37.564667250559,126.845702434594,30
서울특별시 강서구 내발산동 751,발산1동,37.5528192530167,126.824912207374,50
서울특별시 강서구 공항대로59길 41,등촌1동,37.5535464814378,126.863366025858,30
서울특별시 강서구 방화동 542-2,방화2동,37.5686396162371,126.806970740389,30
서울특별시 강서구 마곡동 742-4,방화1동,37.5627680837436,126.819134977372,30
서울특별시 강서구 마곡서로 33,공항동,37.5578308778281,126.822806144479,30
서울특별시 강서구 강서로 328,우장산동,37.5549227320751,126.837395751551,50
서울특별시 강서구 강서로45길 118,발산1동,37.5504601511805,126.831714004404,30
서울특별시 강서구 강서로29길 52,화곡1동,37.5389121743227,126.839037456652,30
서울특별시 강서구 까치산로 60,화곡본동,37.543780348526,126.846678573063,30
서울특별시 강서구 화곡동 1129-29,화곡6동,37.5526495119228,126.85430033366,30
서울특별시 강서구 화곡로69길 9,등촌3동,37.560801806853,126.853779444824,30
서울특별시 강서구 양천로 720,염창동,37.5492177273409,126.875677103073,50
서울특별시 강서구 양천로55길 22,가양2동,37.565476815297,126.850622310822,30
서울특별시 강서구 허준로 198,가양3동,37.5612915907155,126.860254088709,30
서울특별시 강서구 방화대로47길 43,방화3동,37.5759191517213,126.814645646553,30
서울특별시 강서구 방화동 799,방화3동,37.5793885709354,126.81031323852,30
서울특별시 강서구 방화동로 32,공항동,37.5635781922246,126.810757517944,30
