"지역별(1)","지역별(2)","지역별(3)",상품군별(1),상품군별(2),판매유형별(1),2023.4/4,2024.1/4 p),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"유럽","유럽연합+영국","유럽연합",의류 및 패션 관련 상품,소계,면세점,6,4,-,-,-,-,-,-,-,-,-,22
"유럽","유럽연합+영국","유럽연합",의류 및 패션 관련 상품,소계,면세점 이외,498,735,-,-,-,-,-,-,-,-,-,1939
"유럽","유럽연합+영국","유럽연합",스포츠·레저용품,소계,계,10,12,-,-,-,-,-,-,-,-,-,328
"유럽","유럽연합+영국","유럽연합",스포츠·레저용품,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","유럽연합",스포츠·레저용품,소계,면세점 이외,10,12,-,-,-,-,-,-,-,-,-,328
"유럽","유럽연합+영국","유럽연합",화장품,소계,계,386,718,-,-,-,-,-,-,-,-,-,1168
"유럽","유럽연합+영국","유럽연합",화장품,소계,면세점,31,25,-,-,-,-,-,-,-,-,-,67
"유럽","유럽연합+영국","유럽연합",화장품,소계,면세점 이외,355,693,-,-,-,-,-,-,-,-,-,1101
"유럽","유럽연합+영국","유럽연합",아동·유아용품,소계,계,18,6,-,-,-,-,-,-,-,-,-,59
"유럽","유럽연합+영국","유럽연합",아동·유아용품,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","유럽연합",아동·유아용품,소계,면세점 이외,18,6,-,-,-,-,-,-,-,-,-,59
"유럽","유럽연합+영국","유럽연합",음·식료품,소계,계,10,11,-,-,-,-,-,-,-,-,-,41
"유럽","유럽연합+영국","유럽연합",음·식료품,소계,면세점,5,5,-,-,-,-,-,-,-,-,-,14
"유럽","유럽연합+영국","유럽연합",음·식료품,소계,면세점 이외,5,6,-,-,-,-,-,-,-,-,-,27
"유럽","유럽연합+영국","유럽연합",농축수산물,소계,계,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","유럽연합",농축수산물,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","유럽연합",농축수산물,소계,면세점 이외,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","유럽연합",생활·자동차용품,소계,계,54,90,-,-,-,-,-,-,-,-,-,107
"유럽","유럽연합+영국","유럽연합",생활·자동차용품,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","유럽연합",생활·자동차용품,소계,면세점 이외,54,90,-,-,-,-,-,-,-,-,-,107
"유럽","유럽연합+영국","유럽연합",기 타,소계,계,144,104,-,-,-,-,-,-,-,-,-,490
"유럽","유럽연합+영국","유럽연합",기 타,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","유럽연합",기 타,소계,면세점 이외,144,104,-,-,-,-,-,-,-,-,-,490
"유럽","유럽연합+영국","영국",합계,소계,계,1380,1000,-,-,-,-,-,-,-,-,-,5194
"유럽","유럽연합+영국","영국",합계,소계,면세점,7,2,-,-,-,-,-,-,-,-,-,9
"유럽","유럽연합+영국","영국",합계,소계,면세점 이외,1373,998,-,-,-,-,-,-,-,-,-,5185
"유럽","유럽연합+영국","영국",컴퓨터 및 주변기기,소계,계,62,88,-,-,-,-,-,-,-,-,-,321
"유럽","유럽연합+영국","영국",컴퓨터 및 주변기기,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","영국",컴퓨터 및 주변기기,소계,면세점 이외,62,88,-,-,-,-,-,-,-,-,-,321
"유럽","유럽연합+영국","영국",가전·전자·통신기기,소계,계,76,38,-,-,-,-,-,-,-,-,-,277
"유럽","유럽연합+영국","영국",가전·전자·통신기기,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","영국",가전·전자·통신기기,소계,면세점 이외,76,38,-,-,-,-,-,-,-,-,-,277
"유럽","유럽연합+영국","영국",가전·전자·통신기기,가전·전자,계,76,38,-,-,-,-,-,-,-,-,-,266
"유럽","유럽연합+영국","영국",가전·전자·통신기기,가전·전자,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","영국",가전·전자·통신기기,가전·전자,면세점 이외,76,38,-,-,-,-,-,-,-,-,-,266
"유럽","유럽연합+영국","영국",가전·전자·통신기기,통신기기,계,0,0,-,-,-,-,-,-,-,-,-,11
"유럽","유럽연합+영국","영국",가전·전자·통신기기,통신기기,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","영국",가전·전자·통신기기,통신기기,면세점 이외,0,0,-,-,-,-,-,-,-,-,-,11
"유럽","유럽연합+영국","영국",소프트웨어,소계,계,0,0,-,-,-,-,-,-,-,-,-,2
"유럽","유럽연합+영국","영국",소프트웨어,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","영국",소프트웨어,소계,면세점 이외,0,0,-,-,-,-,-,-,-,-,-,2
"유럽","유럽연합+영국","영국",서 적,소계,계,31,30,-,-,-,-,-,-,-,-,-,122
"유럽","유럽연합+영국","영국",서 적,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","영국",서 적,소계,면세점 이외,31,30,-,-,-,-,-,-,-,-,-,122
"유럽","유럽연합+영국","영국",사무·문구,소계,계,34,10,-,-,-,-,-,-,-,-,-,61
"유럽","유럽연합+영국","영국",사무·문구,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","영국",사무·문구,소계,면세점 이외,34,10,-,-,-,-,-,-,-,-,-,61
"유럽","유럽연합+영국","영국",음반·비디오·악기,소계,계,588,243,-,-,-,-,-,-,-,-,-,2522
"유럽","유럽연합+영국","영국",음반·비디오·악기,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","영국",음반·비디오·악기,소계,면세점 이외,588,243,-,-,-,-,-,-,-,-,-,2522
"유럽","유럽연합+영국","영국",의류 및 패션 관련 상품,소계,계,273,327,-,-,-,-,-,-,-,-,-,963
"유럽","유럽연합+영국","영국",의류 및 패션 관련 상품,소계,면세점,3,0,-,-,-,-,-,-,-,-,-,3
"유럽","유럽연합+영국","영국",의류 및 패션 관련 상품,소계,면세점 이외,270,327,-,-,-,-,-,-,-,-,-,960
"유럽","유럽연합+영국","영국",스포츠·레저용품,소계,계,2,4,-,-,-,-,-,-,-,-,-,14
"유럽","유럽연합+영국","영국",스포츠·레저용품,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","영국",스포츠·레저용품,소계,면세점 이외,2,4,-,-,-,-,-,-,-,-,-,14
"유럽","유럽연합+영국","영국",화장품,소계,계,176,127,-,-,-,-,-,-,-,-,-,527
"유럽","유럽연합+영국","영국",화장품,소계,면세점,3,0,-,-,-,-,-,-,-,-,-,3
"유럽","유럽연합+영국","영국",화장품,소계,면세점 이외,173,127,-,-,-,-,-,-,-,-,-,524
"유럽","유럽연합+영국","영국",아동·유아용품,소계,계,8,2,-,-,-,-,-,-,-,-,-,22
"유럽","유럽연합+영국","영국",아동·유아용품,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","영국",아동·유아용품,소계,면세점 이외,8,2,-,-,-,-,-,-,-,-,-,22
"유럽","유럽연합+영국","영국",음·식료품,소계,계,17,21,-,-,-,-,-,-,-,-,-,68
"유럽","유럽연합+영국","영국",음·식료품,소계,면세점,1,2,-,-,-,-,-,-,-,-,-,3
"유럽","유럽연합+영국","영국",음·식료품,소계,면세점 이외,16,19,-,-,-,-,-,-,-,-,-,65
"유럽","유럽연합+영국","영국",농축수산물,소계,계,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","영국",농축수산물,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","영국",농축수산물,소계,면세점 이외,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","영국",생활·자동차용품,소계,계,30,24,-,-,-,-,-,-,-,-,-,39
"유럽","유럽연합+영국","영국",생활·자동차용품,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","영국",생활·자동차용품,소계,면세점 이외,30,24,-,-,-,-,-,-,-,-,-,39
"유럽","유럽연합+영국","영국",기 타,소계,계,83,86,-,-,-,-,-,-,-,-,-,256
"유럽","유럽연합+영국","영국",기 타,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","유럽연합+영국","영국",기 타,소계,면세점 이외,83,86,-,-,-,-,-,-,-,-,-,256
"유럽","기타 유럽","소계",합계,소계,계,643,460,-,-,-,-,-,-,-,-,-,2983
"유럽","기타 유럽","소계",합계,소계,면세점,4,5,-,-,-,-,-,-,-,-,-,399
"유럽","기타 유럽","소계",합계,소계,면세점 이외,639,455,-,-,-,-,-,-,-,-,-,2584
"유럽","기타 유럽","소계",컴퓨터 및 주변기기,소계,계,48,29,-,-,-,-,-,-,-,-,-,163
"유럽","기타 유럽","소계",컴퓨터 및 주변기기,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",컴퓨터 및 주변기기,소계,면세점 이외,48,29,-,-,-,-,-,-,-,-,-,163
"유럽","기타 유럽","소계",가전·전자·통신기기,소계,계,10,19,-,-,-,-,-,-,-,-,-,30
"유럽","기타 유럽","소계",가전·전자·통신기기,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,7
"유럽","기타 유럽","소계",가전·전자·통신기기,소계,면세점 이외,10,19,-,-,-,-,-,-,-,-,-,23
"유럽","기타 유럽","소계",가전·전자·통신기기,가전·전자,계,10,19,-,-,-,-,-,-,-,-,-,30
"유럽","기타 유럽","소계",가전·전자·통신기기,가전·전자,면세점,0,0,-,-,-,-,-,-,-,-,-,7
"유럽","기타 유럽","소계",가전·전자·통신기기,가전·전자,면세점 이외,10,19,-,-,-,-,-,-,-,-,-,23
"유럽","기타 유럽","소계",가전·전자·통신기기,통신기기,계,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",가전·전자·통신기기,통신기기,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",가전·전자·통신기기,통신기기,면세점 이외,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",소프트웨어,소계,계,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",소프트웨어,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",소프트웨어,소계,면세점 이외,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",서 적,소계,계,57,7,-,-,-,-,-,-,-,-,-,75
"유럽","기타 유럽","소계",서 적,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",서 적,소계,면세점 이외,57,7,-,-,-,-,-,-,-,-,-,75
"유럽","기타 유럽","소계",사무·문구,소계,계,13,6,-,-,-,-,-,-,-,-,-,14
"유럽","기타 유럽","소계",사무·문구,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",사무·문구,소계,면세점 이외,13,6,-,-,-,-,-,-,-,-,-,14
"유럽","기타 유럽","소계",음반·비디오·악기,소계,계,329,96,-,-,-,-,-,-,-,-,-,944
"유럽","기타 유럽","소계",음반·비디오·악기,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",음반·비디오·악기,소계,면세점 이외,329,96,-,-,-,-,-,-,-,-,-,944
"유럽","기타 유럽","소계",의류 및 패션 관련 상품,소계,계,43,34,-,-,-,-,-,-,-,-,-,605
"유럽","기타 유럽","소계",의류 및 패션 관련 상품,소계,면세점,0,1,-,-,-,-,-,-,-,-,-,91
"유럽","기타 유럽","소계",의류 및 패션 관련 상품,소계,면세점 이외,43,33,-,-,-,-,-,-,-,-,-,514
"유럽","기타 유럽","소계",스포츠·레저용품,소계,계,1,4,-,-,-,-,-,-,-,-,-,126
"유럽","기타 유럽","소계",스포츠·레저용품,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",스포츠·레저용품,소계,면세점 이외,1,4,-,-,-,-,-,-,-,-,-,126
"유럽","기타 유럽","소계",화장품,소계,계,108,190,-,-,-,-,-,-,-,-,-,813
"유럽","기타 유럽","소계",화장품,소계,면세점,4,3,-,-,-,-,-,-,-,-,-,276
"유럽","기타 유럽","소계",화장품,소계,면세점 이외,104,187,-,-,-,-,-,-,-,-,-,537
"유럽","기타 유럽","소계",아동·유아용품,소계,계,0,0,-,-,-,-,-,-,-,-,-,113
"유럽","기타 유럽","소계",아동·유아용품,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",아동·유아용품,소계,면세점 이외,0,0,-,-,-,-,-,-,-,-,-,113
"유럽","기타 유럽","소계",음·식료품,소계,계,0,1,-,-,-,-,-,-,-,-,-,25
"유럽","기타 유럽","소계",음·식료품,소계,면세점,0,1,-,-,-,-,-,-,-,-,-,25
"유럽","기타 유럽","소계",음·식료품,소계,면세점 이외,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",농축수산물,소계,계,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",농축수산물,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",농축수산물,소계,면세점 이외,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",생활·자동차용품,소계,계,21,68,-,-,-,-,-,-,-,-,-,28
"유럽","기타 유럽","소계",생활·자동차용품,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",생활·자동차용품,소계,면세점 이외,21,68,-,-,-,-,-,-,-,-,-,28
"유럽","기타 유럽","소계",기 타,소계,계,13,6,-,-,-,-,-,-,-,-,-,47
"유럽","기타 유럽","소계",기 타,소계,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"유럽","기타 유럽","소계",기 타,소계,면세점 이외,13,6,-,-,-,-,-,-,-,-,-,47
"대양주","소계","소계",합계,소계,계,2069,1234,18326,14641,19181,19617,17563,13272,16271,15618,8194,7715
"대양주","소계","소계",합계,소계,면세점,16,17,-,-,-,16,43,81,16,6,22,54
"대양주","소계","소계",합계,소계,면세점 이외,2053,1217,-,-,-,19601,17520,13191,16255,15612,8172,7661
"대양주","소계","소계",컴퓨터 및 주변기기,소계,계,28,21,1625,1132,1301,777,473,254,318,270,137,203
"대양주","소계","소계",컴퓨터 및 주변기기,소계,면세점,0,0,-,-,-,1,0,0,0,0,0,0
"대양주","소계","소계",컴퓨터 및 주변기기,소계,면세점 이외,28,21,-,-,-,776,473,254,318,270,137,203
"대양주","소계","소계",가전·전자·통신기기,소계,계,21,28,3395,2491,4428,5350,4696,2342,3834,3001,101,125
"대양주","소계","소계",가전·전자·통신기기,소계,면세점,1,2,-,-,-,4,4,14,9,0,1,1
"대양주","소계","소계",가전·전자·통신기기,소계,면세점 이외,20,26,-,-,-,5346,4692,2328,3825,3001,100,124
"대양주","소계","소계",가전·전자·통신기기,가전·전자,계,21,27,-,-,-,-,-,-,-,-,-,116
"대양주","소계","소계",가전·전자·통신기기,가전·전자,면세점,1,1,-,-,-,-,-,-,-,-,-,1
"대양주","소계","소계",가전·전자·통신기기,가전·전자,면세점 이외,20,26,-,-,-,-,-,-,-,-,-,115
"대양주","소계","소계",가전·전자·통신기기,통신기기,계,0,1,-,-,-,-,-,-,-,-,-,9
"대양주","소계","소계",가전·전자·통신기기,통신기기,면세점,0,1,-,-,-,-,-,-,-,-,-,0
"대양주","소계","소계",가전·전자·통신기기,통신기기,면세점 이외,0,0,-,-,-,-,-,-,-,-,-,9
"대양주","소계","소계",소프트웨어,소계,계,0,0,98,85,34,72,40,20,20,20,0,9
"대양주","소계","소계",소프트웨어,소계,면세점,0,0,-,-,-,0,0,0,0,0,0,0
"대양주","소계","소계",소프트웨어,소계,면세점 이외,0,0,-,-,-,72,40,20,20,20,0,9
"대양주","소계","소계",서 적,소계,계,171,89,80,101,154,320,350,272,367,451,380,528
"대양주","소계","소계",서 적,소계,면세점,0,0,-,-,-,0,0,0,0,0,0,0
"대양주","소계","소계",서 적,소계,면세점 이외,171,89,-,-,-,320,350,272,367,451,380,528
"대양주","소계","소계",사무·문구,소계,계,43,14,12,11,30,32,21,25,21,63,58,53
"대양주","소계","소계",사무·문구,소계,면세점,0,0,-,-,-,0,0,0,0,0,0,0
"대양주","소계","소계",사무·문구,소계,면세점 이외,43,14,-,-,-,32,21,25,21,63,58,53
"대양주","소계","소계",음반·비디오·악기,소계,계,798,228,494,506,724,1052,1504,1540,1800,2081,1007,2827
"대양주","소계","소계",음반·비디오·악기,소계,면세점,0,0,-,-,-,0,0,0,0,0,0,0
"대양주","소계","소계",음반·비디오·악기,소계,면세점 이외,798,228,-,-,-,1052,1504,1540,1800,2081,1007,2827
"대양주","소계","소계",의류 및 패션 관련 상품,소계,계,795,626,3392,2349,3401,2716,2725,2489,3749,4766,4896,3125
"대양주","소계","소계",의류 및 패션 관련 상품,소계,면세점,3,3,-,-,-,5,15,29,3,6,5,10
"대양주","소계","소계",의류 및 패션 관련 상품,소계,면세점 이외,792,623,-,-,-,2711,2710,2460,3746,4760,4891,3115
"대양주","소계","소계",스포츠·레저용품,소계,계,3,6,634,460,524,563,466,475,690,1041,430,208
"대양주","소계","소계",스포츠·레저용품,소계,면세점,0,0,-,-,-,1,0,0,0,0,0,0
"대양주","소계","소계",스포츠·레저용품,소계,면세점 이외,3,6,-,-,-,562,466,475,690,1041,430,208
"대양주","소계","소계",화장품,소계,계,88,103,2776,2634,4248,4624,3926,3386,2462,1626,324,223
"대양주","소계","소계",화장품,소계,면세점,4,6,-,-,-,3,21,29,3,0,4,19
"대양주","소계","소계",화장품,소계,면세점 이외,84,97,-,-,-,4621,3905,3357,2459,1626,320,204
"대양주","소계","소계",아동·유아용품,소계,계,10,5,837,757,885,908,686,481,484,368,81,58
"대양주","소계","소계",아동·유아용품,소계,면세점,0,0,-,-,-,0,0,0,0,0,0,0
"대양주","소계","소계",아동·유아용품,소계,면세점 이외,10,5,-,-,-,908,686,481,484,368,81,58
"대양주","소계","소계",음·식료품,소계,계,27,19,1223,1027,153,130,106,88,404,33,34,62
"대양주","소계","소계",음·식료품,소계,면세점,8,6,-,-,-,2,3,9,1,0,12,24
"대양주","소계","소계",음·식료품,소계,면세점 이외,19,13,-,-,-,128,103,79,403,33,22,38
"대양주","소계","소계",농축수산물,소계,계,0,0,512,335,0,0,9,1,1,1,0,0
"대양주","소계","소계",농축수산물,소계,면세점,0,0,-,-,-,0,0,0,0,0,0,0
"대양주","소계","소계",농축수산물,소계,면세점 이외,0,0,-,-,-,0,9,1,1,1,0,0
"대양주","소계","소계",생활·자동차용품,소계,계,28,49,2257,1902,2374,2085,1664,1226,1198,974,103,69
"대양주","소계","소계",생활·자동차용품,소계,면세점,0,0,-,-,-,0,0,0,0,0,0,0
"대양주","소계","소계",생활·자동차용품,소계,면세점 이외,28,49,-,-,-,2085,1664,1226,1198,974,103,69
"대양주","소계","소계",기 타,소계,계,57,46,991,851,925,988,897,673,923,921,641,225
"대양주","소계","소계",기 타,소계,면세점,0,0,-,-,-,0,0,0,0,0,0,0
"대양주","소계","소계",기 타,소계,면세점 이외,57,46,-,-,-,988,897,673,923,921,641,225
"중남미","소계","소계",합계,소계,계,2030,851,9703,8974,9392,10285,11669,12981,12563,8422,5029,7911
"중남미","소계","소계",합계,소계,면세점,2,1,-,-,-,0,0,0,0,0,1,3
"중남미","소계","소계",합계,소계,면세점 이외,2028,850,-,-,-,10285,11669,12981,12563,8422,5028,7908
"중남미","소계","소계",컴퓨터 및 주변기기,소계,계,63,38,360,250,340,344,218,234,362,354,145,469
"중남미","소계","소계",컴퓨터 및 주변기기,소계,면세점,0,0,-,-,-,0,0,0,0,0,0,0
"중남미","소계","소계",컴퓨터 및 주변기기,소계,면세점 이외,63,38,-,-,-,344,218,234,362,354,145,469
"중남미","소계","소계",가전·전자·통신기기,소계,계,27,28,1647,1192,1298,1359,861,979,912,569,122,131
"중남미","소계","소계",가전·전자·통신기기,소계,면세점,0,0,-,-,-,0,0,0,0,0,0,0
"중남미","소계","소계",가전·전자·통신기기,소계,면세점 이외,27,28,-,-,-,1359,861,979,912,569,122,131
"중남미","소계","소계",가전·전자·통신기기,가전·전자,계,19,27,-,-,-,-,-,-,-,-,-,69
"중남미","소계","소계",가전·전자·통신기기,가전·전자,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"중남미","소계","소계",가전·전자·통신기기,가전·전자,면세점 이외,19,27,-,-,-,-,-,-,-,-,-,69
"중남미","소계","소계",가전·전자·통신기기,통신기기,계,8,1,-,-,-,-,-,-,-,-,-,62
"중남미","소계","소계",가전·전자·통신기기,통신기기,면세점,0,0,-,-,-,-,-,-,-,-,-,0
"중남미","소계","소계",가전·전자·통신기기,통신기기,면세점 이외,8,1,-,-,-,-,-,-,-,-,-,62
"중남미","소계","소계",소프트웨어,소계,계,0,0,44,152,158,53,19,17,15,10,0,0
"중남미","소계","소계",소프트웨어,소계,면세점,0,0,-,-,-,0,0,0,0,0,0,0
"중남미","소계","소계",소프트웨어,소계,면세점 이외,0,0,-,-,-,53,19,17,15,10,0,0
"중남미","소계","소계",서 적,소계,계,125,52,69,72,140,186,407,646,188,365,425,313
